sr. no.,username,user id,name,group,Status
1,hamid1805,34687541,hamid,https://t.me/Tamiratreceiverdigitall,20210731
2,Zendegi11111111,499929218,A,https://t.me/Tamiratreceiverdigitall,20210731
3,Sin_Zia,125701143,Mohammad,https://t.me/Tamiratreceiverdigitall,20210731
4,Zarei_hamdi,31072615,Hamdolah,https://t.me/Tamiratreceiverdigitall,20210731
5,ZARATHUSTRA1978,167648137,Adel,https://t.me/Tamiratreceiverdigitall,20210731
6,ehsanz61,277445864,ehsan,https://t.me/Tamiratreceiverdigitall,20210701
7,kamranzare,83129516,تعمیرات بردهای الکترونیک lcd led,https://t.me/Tamiratreceiverdigitall,20210731
8,MiladZaffari,45709486,Milad,https://t.me/Tamiratreceiverdigitall,20210731
9,Zishan8896,795617680,Zishan,https://t.me/Tamiratreceiverdigitall,20210731
10,Milad73nahavand,892784869,Milad zakian تعمیرات لوازم صوتی تصویری,https://t.me/Tamiratreceiverdigitall,20210731
11,SONY_4K1,292218561,Alireza,https://t.me/Tamiratreceiverdigitall,20210731
12,Zchhhhh,700864824,B@B@k,https://t.me/Tamiratreceiverdigitall,20210731
13,Alizabeti_ESP,122299613,Ali,https://t.me/Tamiratreceiverdigitall,20210731
14,zahedi1986,102621091,Mehdi,https://t.me/Tamiratreceiverdigitall,20210731
15,Vazahra28,1463674890,Zahra,https://t.me/Tamiratreceiverdigitall,20210731
16,Nickarto,1109181809,Nikhil,https://t.me/Tamiratreceiverdigitall,20210731
17,Amin_sartipzadeh,101113364,A,https://t.me/Tamiratreceiverdigitall,20210731
18,Farshidzeynalii,735502898,Farshid,https://t.me/Tamiratreceiverdigitall,20210731
19,rezacfc72,137532431,reza,https://t.me/Tamiratreceiverdigitall,20210731
20,Zamo4791,176089792,Z,https://t.me/Tamiratreceiverdigitall,20210731
21,aliyuzannah,762569959,Aliyu,https://t.me/Tamiratreceiverdigitall,20210701
22,RepairsAdmin,390592005,A.zare,https://t.me/Tamiratreceiverdigitall,20210731
23,Zabih42,186603316,ZABIH,https://t.me/Tamiratreceiverdigitall,20210731
24,MohammadZibaee,181039811,Mohammad,https://t.me/Tamiratreceiverdigitall,20210731
25,Ghariiiiibe,175332563,Z-shirani,https://t.me/Tamiratreceiverdigitall,20210731
26,E_ZZ_A,463381108,Y A H A,https://t.me/Tamiratreceiverdigitall,20210731
27,FarhanZahiri,67037566,Farhan,https://t.me/Tamiratreceiverdigitall,20210731
28,zare4909,296556006,مرکز تعمیرات پنل,https://t.me/Tamiratreceiverdigitall,20210731
29,ZapUser0927573384,293342423,نعمت,https://t.me/Tamiratreceiverdigitall,20210731
30,zana_electronicbokan,177418266,Mehran,https://t.me/Tamiratreceiverdigitall,20210731
31,zarei_omid,37515938,omid,https://t.me/Tamiratreceiverdigitall,20210731
32,En_zarrin,168836360,☑️ فنی مهندسی زرین,https://t.me/Tamiratreceiverdigitall,20210731
33,zarei_1991,109159825,L,https://t.me/Tamiratreceiverdigitall,20210731
34,Zakzar123,620357498,Zakaria,https://t.me/Tamiratreceiverdigitall,20210731
35,Masoud_z45,52913737,Masoud,https://t.me/Tamiratreceiverdigitall,20210731
36,Mohsen_zero,125043551,Mohsen,https://t.me/Tamiratreceiverdigitall,20210731
37,amin1653,107715590,Amin you,https://t.me/Tamiratreceiverdigitall,20210731
38,Yektafilm_Esfahan,186743961,Majid,https://t.me/Tamiratreceiverdigitall,20210731
39,yas139640,279478467,محمد,https://t.me/Tamiratreceiverdigitall,20210731
40,Javad_yoosefpoor,163146715,Javad,https://t.me/Tamiratreceiverdigitall,20210731
41,Yas2280,117699899,IRAN,https://t.me/Tamiratreceiverdigitall,20210731
42,Yavar38,256020964,Yavar,https://t.me/Tamiratreceiverdigitall,20210731
43,flashdump002,556460413,yaser,https://t.me/Tamiratreceiverdigitall,20210731
44,mr_yeganeh9550,106040455,m-yeganeh,https://t.me/Tamiratreceiverdigitall,20210731
45,ashkanyou10,1402334830,ÃšĥĶâŋ,https://t.me/Tamiratreceiverdigitall,20210701
46,Ahft30065760,187115122,Bahman,https://t.me/Tamiratreceiverdigitall,20210724
47,AyhanBaby,1664442366,A Y H A N,https://t.me/Tamiratreceiverdigitall,20210731
48,h59y59,293564057,@H,https://t.me/Tamiratreceiverdigitall,20210731
49,Yahya_13,108257035,Yahya,https://t.me/Tamiratreceiverdigitall,20210731
50,Younus2,118526578,یونس ساعی,https://t.me/Tamiratreceiverdigitall,20210731
51,Yasharsaboori,226794366,Yashar,https://t.me/Tamiratreceiverdigitall,20210731
52,tasian_yazd,517071502,تاسیان,https://t.me/Tamiratreceiverdigitall,20210731
53,mohamadreza60,63518248,Ya,https://t.me/Tamiratreceiverdigitall,20210731
54,Repair_CCTV,521811637,MR,https://t.me/Tamiratreceiverdigitall,20210731
55,Yahyazadeh1351,442815282,Ali,https://t.me/Tamiratreceiverdigitall,20210731
56,Yohiyasat,1249801408,YO,https://t.me/Tamiratreceiverdigitall,20210731
57,iman_yas,7600893,Iman,https://t.me/Tamiratreceiverdigitall,20210731
58,Youchie,118258183,Youchie,https://t.me/Tamiratreceiverdigitall,20210731
59,o0mohamad0o,123942606,Mohámád,https://t.me/Tamiratreceiverdigitall,20210731
60,yazdi_ma,255198718,Iran-e-maa,https://t.me/Tamiratreceiverdigitall,20210731
61,Yasermoham,214749311,یاسر,https://t.me/Tamiratreceiverdigitall,20210731
62,Yaho1360,141293452,M&r,https://t.me/Tamiratreceiverdigitall,20210731
63,Yunes_ELC,334116078,yµиË§,https://t.me/Tamiratreceiverdigitall,20210731
64,yashray07,455201682,yash,https://t.me/Tamiratreceiverdigitall,20210731
65,Azturkan,368789840,"`•.,¸¸,.•´¯ don’t sell yourself short ¯`•.,¸¸,.•´",https://t.me/Tamiratreceiverdigitall,20210724
66,Yousef92,83260656,Yousef Gholizade,https://t.me/Tamiratreceiverdigitall,20210731
67,Yavar2232,792496447,Yavar,https://t.me/Tamiratreceiverdigitall,20210724
68,m_you1364,52233941,M,https://t.me/Tamiratreceiverdigitall,20210731
69,camera95,124924032,yahoo,https://t.me/Tamiratreceiverdigitall,20210731
70,Yousefrahime,32021975,یوسف,https://t.me/Tamiratreceiverdigitall,20210731
71,yussfi36325949,101214789,نمایندگی وخدماتLED هایسنس ،سونی،الجی،سامسونک، سینگل،,https://t.me/Tamiratreceiverdigitall,20210731
72,Xpower1000,231267729,capitan,https://t.me/Tamiratreceiverdigitall,20210731
73,XxFARHADxX1990,106559872,Farhad,https://t.me/Tamiratreceiverdigitall,20210731
74,Mohemed1986,704781852,mihemed,https://t.me/Tamiratreceiverdigitall,20210731
75,westcoast2,91640653,West,https://t.me/Tamiratreceiverdigitall,20210731
76,K_a_r_w_a_n,1238691635,Karwan,https://t.me/Tamiratreceiverdigitall,20210731
77,WatanComputer,112050586,Μοηαμμδ,https://t.me/Tamiratreceiverdigitall,20210731
78,Wastarahem,225735644,$#@,https://t.me/Tamiratreceiverdigitall,20210724
79,Healthub247,113507049,Wind speed,https://t.me/Tamiratreceiverdigitall,20210731
80,Rohit_wankhade,1114081618,Rohit,https://t.me/Tamiratreceiverdigitall,20210731
81,WVictor,130491128,کیان,https://t.me/Tamiratreceiverdigitall,20210731
82,net_world22,118756796,Mehran,https://t.me/Tamiratreceiverdigitall,20210731
83,vahidbah,1777181053,خدا,https://t.me/Tamiratreceiverdigitall,20210731
84,Vahidcck,188201375,▂▃▄▅▆▇█▓▒░vahidcck ░▒▓█▇▆▅▄▃▂,https://t.me/Tamiratreceiverdigitall,20210731
85,Omidvafadar7,93411136,omid,https://t.me/Tamiratreceiverdigitall,20210731
86,argzad,102493715,A,https://t.me/Tamiratreceiverdigitall,20210731
87,Royal20l,192460961,✨Royal audio and video services✨,https://t.me/Tamiratreceiverdigitall,20210731
88,Vhsservice8,1615458654,M.GH,https://t.me/Tamiratreceiverdigitall,20210731
89,Vahid1849,170114698,V@h!d kh@N,https://t.me/Tamiratreceiverdigitall,20210731
90,Mohamad159911,196476087,f.vahid3826,https://t.me/Tamiratreceiverdigitall,20210731
91,javad_systemm,93418196,J^v^d,https://t.me/Tamiratreceiverdigitall,20210731
92,starvision1,1242551520,vision,https://t.me/Tamiratreceiverdigitall,20210731
93,HAGHIGHI_8633,102810217,Vali Alah,https://t.me/Tamiratreceiverdigitall,20210731
94,Vahidhdm,143935863,Ｖค𝐡𝒾Ⓓ,https://t.me/Tamiratreceiverdigitall,20210731
95,Virmooni13421342,594941510,پرتیکان,https://t.me/Tamiratreceiverdigitall,20210731
96,Vmohamadi1365,117634773,وریا ( electronic Erfan ),https://t.me/Tamiratreceiverdigitall,20210731
97,cctv_m,370488160,farshad,https://t.me/Tamiratreceiverdigitall,20210731
98,Vip6981,92521901,Mohammad,https://t.me/Tamiratreceiverdigitall,20210731
99,M_v_bb,818144276,M@#d¡,https://t.me/Tamiratreceiverdigitall,20210731
100,Vmrmb2012,70268715,Reza,https://t.me/Tamiratreceiverdigitall,20210724
101,ali_vazziffe,430457542,ALI,https://t.me/Tamiratreceiverdigitall,20210701
